0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:06:48 +0900] "GET /study/htmlEx/ch03/ex01.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:13:12 +0900] "GET /study/htmlEx/ch03/ex01.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:29 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:29 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:57 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:25:58 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:05 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:25 +0900] "GET /study/htmlEx/ch03/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:26:25 +0900] "GET /study/htmlEx/ch03/test.css HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:37:05 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:13 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:14 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:14 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:15 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:15 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:19 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:19 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:20 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:20 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:22 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:22 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:22 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:22 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:22 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:41 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:42 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:42 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:42 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:39:50 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:48 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:49 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:49 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:49 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:50 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:50 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:40:50 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:35 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:35 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:35 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:36 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:36 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:36 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:47 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:47 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:47 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:47 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:47 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:48 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:14:42:48 +0900] "GET /study/htmlEx/ch03/ex03.html HTTP/1.1" 304 -
